标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
大学物理(上) 可视化详解学习！| 第一讲 | 25分钟学习 质点运动学 动力学,447,76,[],7020,4143,http://www.bilibili.com/video/av513238758
陈秉乾 电磁学 北京大学物理四大神兽之一 当代国内最好的电磁学课程（内含教材与资料）,6007,1007,[],65476,25998,http://www.bilibili.com/video/av843875380
课表学时授课内容-大学物理（质点力学和刚体力学）-西安电子科技大学,2366,242,[],7499,4776,http://www.bilibili.com/video/av89199962
大学物理速成下 大学物理速成电磁学 大学物理速成课（大学物理速成光学刚体力学不挂科大学物理峰考）大学物理速通大学物理速学,4,3,[],374,135,http://www.bilibili.com/video/av1801582683
大学物理 《力学》【中科大少年班精品课】叶邦角教授 （114讲）,3339,381,[],13172,5923,http://www.bilibili.com/video/av755241802
《大学物理-电磁学》11小时系统学习|期末拿高分【蜂考】,78,63,[],2083,1461,http://www.bilibili.com/video/av969638260
大学物理 全网最详细，最基础教程，没有之一！,143,35,[],1682,575,http://www.bilibili.com/video/av244312158
基础物理Ⅰ（耶鲁大学）,24,70,[],7274,2377,http://www.bilibili.com/video/av1450846301
【爱课程】大学物理-东北大学,1974,108,[],2318,1311,http://www.bilibili.com/video/av77443666
【大学物理】4小时带你过大学物理\ 普通物理 \大物\普物  期末考试不挂科 考试周 学霸讲解  热学 光学 电磁学 振动 力学 波动,2462,343,[],21639,10256,http://www.bilibili.com/video/av64592748
【转载】马文蔚-大学物理-上册-东南大学版,1145,41,[],4376,1657,http://www.bilibili.com/video/av297656330
大学物理【电磁学】期末考试突击速成！！2小时学完不挂科！！,276,34,[],2278,1169,http://www.bilibili.com/video/av325586024
【东北大学】大学物理 耿平（全95讲）,57,15,[],1732,645,http://www.bilibili.com/video/av769811307
大学物理,162,34,[],1279,554,http://www.bilibili.com/video/av459444567
2019-2020-《大学物理》-1力学,2029,225,[],5614,3534,http://www.bilibili.com/video/av91547935
【大学物理6小时速成】质点力学,98,34,[],1280,580,http://www.bilibili.com/video/av265488234
大学物理期末速通 知识点+对应习题梳理总结,1,7,[],1541,608,http://www.bilibili.com/video/av923398765
【大学物理—电磁学】4小时不挂|大物—电磁学,1122,578,[],14594,9953,http://www.bilibili.com/video/av16192814
【大学物理】3小时不挂|大物,2878,1957,[],32465,23510,http://www.bilibili.com/video/av7567493
