标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
同济版高等数学视频全集（主讲人袁学刚，教学名师）,13033,0,0,0,,https://www.bilibili.com/cheese/play/ss5811?query_from=0&search_id=16457223298841450795&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
【小白向】大学数学怎么学？献给所有的数学专业大一萌新,14548,48,591,482,16:46,http://www.bilibili.com/video/av702093237
《高等数学(上)》6小时速成课（突击课，适合高等数学(微积分)期末考试、期中考试、补考、重修、专升本，考试不挂科）,1655256,3179,63612,47181,435:53,http://www.bilibili.com/video/av487570649
【大学数学】线性代数（建议收藏）,242121,172,13096,5176,71:31,http://www.bilibili.com/video/av841966503
这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划,6028135,6669,748147,581436,5:29,http://www.bilibili.com/video/av510624331
泰勒公式，39分钟，小白也直接上手！|高等数学,587442,643,27740,22919,39:8,http://www.bilibili.com/video/av408761440
官方认证：最优秀的大学数学教材,107279,421,3642,2059,7:22,http://www.bilibili.com/video/av933512190
南开大学 大学文科数学,253674,676,9564,4920,4810:57,http://www.bilibili.com/video/av36070442
【高等数学（下）】2022 通关速学 第5章 无穷级数,477884,486,9411,14885,83:14,http://www.bilibili.com/video/av982096417
【全国大学生数学竞赛课程】【强烈推荐】,1144172,1731,65028,27228,1300:0,http://www.bilibili.com/video/av88101308
卷绩点有意义吗？「大学数学」满分指南？【经验方法+常见误区】,59269,291,1658,3326,10:8,http://www.bilibili.com/video/av326355821
《b站大学数学系学习指南》,45416,152,5076,2026,6:34,http://www.bilibili.com/video/av649675808
数学物理方法（武汉大学）周国全老师 1080p高清修复（全集）,46129,50,2315,841,3790:18,http://www.bilibili.com/video/av450312506
俗说矩阵：B站最宝藏的线性代数视频系列！一学就懂！,408310,962,32051,15155,454:47,http://www.bilibili.com/video/av992987520
【高等数学】极限求解的常见方法,1729522,1308,108468,101852,31:22,http://www.bilibili.com/video/av372547870
[大一萌新必备]高中-大学数学衔接知识,163689,170,10590,4803,303:49,http://www.bilibili.com/video/av762165476
【大一必关注】同济大学第七版《高等数学》|应是全网高数|微积分学习的最佳配套视频！,803248,369,19815,17693,2074:55,http://www.bilibili.com/video/av472967313
北大学长讲透《高等数学》（合集更新中）｜这可能是你能听到的最好的高数教程,64665,241,2173,1731,3176:23,http://www.bilibili.com/video/av988557426
【数学】高等数学 同济大学 李雨生等主讲,285023,121,11371,3378,3021:7,http://www.bilibili.com/video/av41855044
第七章：微分方程（高等数学上，匹配同济大学第七版）,24556,34,500,534,278:19,http://www.bilibili.com/video/av945924003
B站强推！【高等数学（上册+下册 ）】2023公认超详细通俗的同济七版零基础课程/大学同步教材/期末考试不挂科/考研数学/ 函数/极限与连续/微积分/专升本,49199,61,2270,897,763:38,http://www.bilibili.com/video/av312089771
【强烈推荐】【线代不挂科】【大学数学高分版】【七小时讲完/不挂科】,56870,179,2534,1826,443:48,http://www.bilibili.com/video/av339013336
高等数学上册-全面知识点精讲,65835,34,2205,824,962:2,http://www.bilibili.com/video/av839474541
大学数学《线性代数》精讲课程,141903,191,4375,1977,489:31,http://www.bilibili.com/video/av332736611
大学 数学专业课 现状,94291,473,807,1762,2:9,http://www.bilibili.com/video/av339357620
【娱乐】 当代大学数学难度排行榜,39122,191,223,582,1:59,http://www.bilibili.com/video/av677964175
【中国科学技术大学】数学分析（全218讲）史济怀,155542,166,10962,2891,9595:22,http://www.bilibili.com/video/av314467883
本科生参加大学生数学建模大赛，只讲一次,388565,411,20211,15117,2:47,http://www.bilibili.com/video/av251431547
大学数学   高等数学,6926,33,175,145,6062:18,http://www.bilibili.com/video/av549692870
我在B站上大学!【完整版-麻省理工-微积分重点】全18讲！学数学不看的微积分课程，看完顺滑一整年。人工智能数学基础/机器学习/微积分/麻省理工/高等数学。,2577,4,424,198,590:39,http://www.bilibili.com/video/av783827559
高数两个重要极限，20分钟学会！,197116,573,6342,8619,20:12,http://www.bilibili.com/video/av832826619
【4小时学完高数上/微积分上】大学数学速学，高数上/微积分上/数学分析上【期末考试神器】小元老师,69306,115,3005,1470,172:46,http://www.bilibili.com/video/av82145704
【清华大学】数学建模从入门到精通（全83讲）,260057,244,22640,4725,1891:30,http://www.bilibili.com/video/av42054200
北大韦神亲授数学应该怎么学,288079,133,908,19828,0:35,http://www.bilibili.com/video/av852464682
第二章：导数与微分（高等数学上，同济大学第七版）,82076,101,1647,1560,254:22,http://www.bilibili.com/video/av986855685
大学数学巧解高中题（完整版）,35593,50,2627,884,400:11,http://www.bilibili.com/video/av583263548
极坐标【高数预备知识(简要版)】宋浩老师,420102,277,6848,11115,16:34,http://www.bilibili.com/video/av856910777
【娱乐】 当代大学数学难度排行榜,39122,191,223,582,1:59,http://www.bilibili.com/video/av677964175
【中国科学技术大学】数学分析（全218讲）史济怀,155542,166,10962,2891,9595:22,http://www.bilibili.com/video/av314467883
本科生参加大学生数学建模大赛，只讲一次,388565,411,20211,15117,2:47,http://www.bilibili.com/video/av251431547
大学数学   高等数学,6926,33,175,145,6062:18,http://www.bilibili.com/video/av549692870
我在B站上大学!【完整版-麻省理工-微积分重点】全18讲！学数学不看的微积分课程，看完顺滑一整年。人工智能数学基础/机器学习/微积分/麻省理工/高等数学。,2577,4,424,198,590:39,http://www.bilibili.com/video/av783827559
高数两个重要极限，20分钟学会！,197116,573,6342,8619,20:12,http://www.bilibili.com/video/av832826619
【4小时学完高数上/微积分上】大学数学速学，高数上/微积分上/数学分析上【期末考试神器】小元老师,69306,115,3005,1470,172:46,http://www.bilibili.com/video/av82145704
【清华大学】数学建模从入门到精通（全83讲）,260057,244,22640,4725,1891:30,http://www.bilibili.com/video/av42054200
北大韦神亲授数学应该怎么学,288079,133,908,19828,0:35,http://www.bilibili.com/video/av852464682
