标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
【微电影 辛亥革命】中国近现代史纲要小组作业,6,28,[],168,176,http://www.bilibili.com/video/av549787737
2023版本丨中国近现代史纲要丨期末丨考研丨马克思主义理论研究和建设工程重点教材丨朗读版,2,21,[],692,208,http://www.bilibili.com/video/av495503295
《中国近现代史纲要》20分钟快速梳理1921年到1949年的历史。,0,38,[],1298,740,http://www.bilibili.com/video/av702422470
【自考、考研适用】中国近现代史纲要 时间轴,44,349,[],8630,6920,http://www.bilibili.com/video/av644690377
【中国近现代史纲要】每集一分钟无痛搞定关键时间知识点|初中/高中/自考/考研|,2,3,[],3,1,http://www.bilibili.com/video/av1154161505
《中国近代史纲要》重点笔记+知识点总结+试题,0,1,[],9,8,http://www.bilibili.com/video/av1004248133
《中国近现代史纲要》 2小时期末速成90+  比刷剧酷,86,102,[],1178,639,http://www.bilibili.com/video/av318641400
【中国近现代史纲要】考前必看-资料分享（定位课本+高频考题）,0,22,[],116,59,http://www.bilibili.com/video/av965284603
【考前必备】挑战三天不看教材轻松中国近现代史纲要85+，适用没备考！,56,78,[],472,205,http://www.bilibili.com/video/av1252701144
中国近现代史纲要 小组作业 || 历史剧《新文化运动——思潮涌动》|| 山东大学,0,30,[],185,174,http://www.bilibili.com/video/av748439280
中国近现代史纲要丨第六章（第4节）中国共产党成为抗日战争的中流砥柱,0,1,[],31,13,http://www.bilibili.com/video/av384883818
【中国近现代史纲要】中国共产党历届代表大会（党的N大）考研高考适用,0,47,[],600,425,http://www.bilibili.com/video/av635900521
24年自考03708中国近现代史纲要尚慧群老师视频资料分享,15,13,[],355,107,http://www.bilibili.com/video/av581290681
【挑战5h搞定中国近现代史】每天10min，保60争90！【19.第六章（中华民族的抗日战争）上】,346,179,[],11660,12591,http://www.bilibili.com/video/av608624891
《中国近现代史纲要》   2小时密押速成90+,5,9,[],194,116,http://www.bilibili.com/video/av1951722277
【中国近现代史纲要作业】 周恩来,0,22,[],10,32,http://www.bilibili.com/video/av996550397
《中国近现代史纲要》第五章第二节 伟大的转折——遵义会议,0,0,[],16,2,http://www.bilibili.com/video/av1151416017
中国近现代史纲要精华知识点【完整版】,1,16,[],585,279,http://www.bilibili.com/video/av1551914339
中国近现代史纲要 | 突击考试 | 15分钟速通带背随身听 | 你还怕不及格吗？| 鱼头,4,15,[],123,137,http://www.bilibili.com/video/av666116382
【2024新教材】自考/专升本中国近现代史纲要03708 零基础精讲班【完整版】（私信领配套讲义）适用全国｜成考、国开、专接本、专插本【尚德机构】,6,368,[],2597,1047,http://www.bilibili.com/video/av658426879
[中国近现代史纲要小组作业]破晓丨五四运动历史剧[零成本翻拍丨已签署大学生互助协议],0,4,[],14,26,http://www.bilibili.com/video/av494974954
《中国近现代史纲要》网络示范教学 教材第七章第二节 人民至上——解放战争胜利的决定性因素,0,0,[],31,1,http://www.bilibili.com/video/av1251277613
中国近现代史纲要（大学生大类基础课思政课程） 三小时高分过近代史,175,122,[],1586,1275,http://www.bilibili.com/video/av753996974
2小时 90+过《中国近现代史纲要》 贼好记 贼好懂（自学考试2023年4月考期）,325,119,[],1949,1130,http://www.bilibili.com/video/av292328774
自考-中国近现代史纲要03708-重点串讲,42,22,[],964,266,http://www.bilibili.com/video/av217763466
自考《中国近现代史纲要》历年真题03708 刷题必备,104,158,[],3599,1248,http://www.bilibili.com/video/av802072850
【考研王吉】15分钟串讲中国近现代史纲要,318,86,[],1502,1233,http://www.bilibili.com/video/av37130643
【中国近现代史纲要】从鸦片战争到新中国成立超燃剪辑,15,68,[],1203,752,http://www.bilibili.com/video/av840079559
《中国近代史纲要》2小时速成课程预习/复习/补考/期末突击不挂科视频课程,1136,232,[],5172,3174,http://www.bilibili.com/video/av507263337
【2404新教材课】自考公共课  中国近现代史纲要 03708 考前冲刺 全国新课改新教材课 零基础适用 | 专升本/自考/考研,11,15,[],65,23,http://www.bilibili.com/video/av1102657104
